FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
396,2018-01-31,2018,1,January,Qtr 1,31
397,2018-02-01,2018,2,February,Qtr 1,1
398,2018-02-02,2018,2,February,Qtr 1,2
399,2018-02-03,2018,2,February,Qtr 1,3
400,2018-02-04,2018,2,February,Qtr 1,4
401,2018-02-05,2018,2,February,Qtr 1,5
402,2018-02-06,2018,2,February,Qtr 1,6
403,2018-02-07,2018,2,February,Qtr 1,7
404,2018-02-08,2018,2,February,Qtr 1,8
405,2018-02-09,2018,2,February,Qtr 1,9
406,2018-02-10,2018,2,February,Qtr 1,10
407,2018-02-11,2018,2,February,Qtr 1,11
408,2018-02-12,2018,2,February,Qtr 1,12
409,2018-02-13,2018,2,February,Qtr 1,13
410,2018-02-14,2018,2,February,Qtr 1,14
411,2018-02-15,2018,2,February,Qtr 1,15
412,2018-02-16,2018,2,February,Qtr 1,16
413,2018-02-17,2018,2,February,Qtr 1,17
414,2018-02-18,2018,2,February,Qtr 1,18
415,2018-02-19,2018,2,February,Qtr 1,19
416,2018-02-20,2018,2,February,Qtr 1,20
417,2018-02-21,2018,2,February,Qtr 1,21
418,2018-02-22,2018,2,February,Qtr 1,22
419,2018-02-23,2018,2,February,Qtr 1,23
420,2018-02-24,2018,2,February,Qtr 1,24
421,2018-02-25,2018,2,February,Qtr 1,25
422,2018-02-26,2018,2,February,Qtr 1,26
423,2018-02-27,2018,2,February,Qtr 1,27
424,2018-02-28,2018,2,February,Qtr 1,28
425,2018-03-01,2018,3,March,Qtr 1,1
426,2018-03-02,2018,3,March,Qtr 1,2
427,2018-03-03,2018,3,March,Qtr 1,3
428,2018-03-04,2018,3,March,Qtr 1,4
429,2018-03-05,2018,3,March,Qtr 1,5
430,2018-03-06,2018,3,March,Qtr 1,6
431,2018-03-07,2018,3,March,Qtr 1,7
432,2018-03-08,2018,3,March,Qtr 1,8
433,2018-03-09,2018,3,March,Qtr 1,9
434,2018-03-10,2018,3,March,Qtr 1,10
435,2018-03-11,2018,3,March,Qtr 1,11
436,2018-03-12,2018,3,March,Qtr 1,12
437,2018-03-13,2018,3,March,Qtr 1,13
438,2018-03-14,2018,3,March,Qtr 1,14
439,2018-03-15,2018,3,March,Qtr 1,15
440,2018-03-16,2018,3,March,Qtr 1,16
441,2018-03-17,2018,3,March,Qtr 1,17
442,2018-03-18,2018,3,March,Qtr 1,18
443,2018-03-19,2018,3,March,Qtr 1,19
444,2018-03-20,2018,3,March,Qtr 1,20
445,2018-03-21,2018,3,March,Qtr 1,21
446,2018-03-22,2018,3,March,Qtr 1,22
447,2018-03-23,2018,3,March,Qtr 1,23
448,2018-03-24,2018,3,March,Qtr 1,24
449,2018-03-25,2018,3,March,Qtr 1,25
450,2018-03-26,2018,3,March,Qtr 1,26
451,2018-03-27,2018,3,March,Qtr 1,27
452,2018-03-28,2018,3,March,Qtr 1,28
453,2018-03-29,2018,3,March,Qtr 1,29
454,2018-03-30,2018,3,March,Qtr 1,30
455,2018-03-31,2018,3,March,Qtr 1,31
456,2018-04-01,2018,4,April,Qtr 2,1
457,2018-04-02,2018,4,April,Qtr 2,2
458,2018-04-03,2018,4,April,Qtr 2,3
459,2018-04-04,2018,4,April,Qtr 2,4
460,2018-04-05,2018,4,April,Qtr 2,5
461,2018-04-06,2018,4,April,Qtr 2,6
462,2018-04-07,2018,4,April,Qtr 2,7
463,2018-04-08,2018,4,April,Qtr 2,8
464,2018-04-09,2018,4,April,Qtr 2,9
465,2018-04-10,2018,4,April,Qtr 2,10
466,2018-04-11,2018,4,April,Qtr 2,11
467,2018-04-12,2018,4,April,Qtr 2,12
468,2018-04-13,2018,4,April,Qtr 2,13
469,2018-04-14,2018,4,April,Qtr 2,14
470,2018-04-15,2018,4,April,Qtr 2,15
471,2018-04-16,2018,4,April,Qtr 2,16
472,2018-04-17,2018,4,April,Qtr 2,17
473,2018-04-18,2018,4,April,Qtr 2,18
474,2018-04-19,2018,4,April,Qtr 2,19
475,2018-04-20,2018,4,April,Qtr 2,20
476,2018-04-21,2018,4,April,Qtr 2,21
477,2018-04-22,2018,4,April,Qtr 2,22
478,2018-04-23,2018,4,April,Qtr 2,23
479,2018-04-24,2018,4,April,Qtr 2,24
480,2018-04-25,2018,4,April,Qtr 2,25
481,2018-04-26,2018,4,April,Qtr 2,26
482,2018-04-27,2018,4,April,Qtr 2,27
483,2018-04-28,2018,4,April,Qtr 2,28
484,2018-04-29,2018,4,April,Qtr 2,29
485,2018-04-30,2018,4,April,Qtr 2,30
486,2018-05-01,2018,5,May,Qtr 2,1
487,2018-05-02,2018,5,May,Qtr 2,2
488,2018-05-03,2018,5,May,Qtr 2,3
489,2018-05-04,2018,5,May,Qtr 2,4
490,2018-05-05,2018,5,May,Qtr 2,5
491,2018-05-06,2018,5,May,Qtr 2,6
492,2018-05-07,2018,5,May,Qtr 2,7
493,2018-05-08,2018,5,May,Qtr 2,8
494,2018-05-09,2018,5,May,Qtr 2,9
495,2018-05-10,2018,5,May,Qtr 2,10
496,2018-05-11,2018,5,May,Qtr 2,11
497,2018-05-12,2018,5,May,Qtr 2,12
498,2018-05-13,2018,5,May,Qtr 2,13
499,2018-05-14,2018,5,May,Qtr 2,14
500,2018-05-15,2018,5,May,Qtr 2,15
501,2018-05-16,2018,5,May,Qtr 2,16
502,2018-05-17,2018,5,May,Qtr 2,17
503,2018-05-18,2018,5,May,Qtr 2,18
